country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,8,19,28,39,,18,7,38,50,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,35,0,0,16,,11,2,76,39,63,14,13,22,,0,4,842
Greece,97,500,307,86,152,203,92,354,475,314,264,82,330,98,631,486,210,373,104,303,302,585,707,246,418,922,1308,1001,1290,739,675,968,462,404,364,189,202,36,528,1216,903,484,2130,864,1182,874,382,807,1719,842,708,787,400,2167,1106,411,721,1703,483,1224,631,71,19,28,204,750,323,52,39,165,40202
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guatemala,,6,,,2,9,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,1,15,47,15,1,1,5,8,47,16,1,7,25,2,0,0,4,0,0,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,3,13,399
Guinea,,,,,,,,,,18,33,0,,0,0,17,,6,,0,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,40,,,60,1,1,,,,,,,4,,18,6,,2,,1,,0,,,4,1,4,,6,,,2,,,421
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,12,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,181
GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,2,0,15,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,2,,,,,,0,,,,,,,,,,0,2,93
Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,8,,,,3,4,1,1,0,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0,,,,,,3
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,9,,,20,20,,,,,,,,,,66
Honduras,,1,2,,1,,9,1,20,1,,,14,,,1,6,,,19,,,,2,,31,30,25,29,9,13,27,30,33,25,35,75,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,,10,1,23,587
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,20
Hungary,56,53,13,802,700,223,1,59,259,331,599,575,290,379,747,667,150,290,271,447,22,247,121,402,567,498,378,394,589,485,387,143,142,117,251,229,79,80,35,59,14,22,,925,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,,14,6,36,13,14144
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,123
India,141,278,104,430,265,350,367,980,954,855,544,1122,371,648,920,1049,994,1265,1655,1518,872,1864,1801,1324,1289,1102,1928,2385,1197,1193,1784,2141,2287,2661,2769,2980,4130,3835,3758,3577,2715,1878,1200,735,883,1479,862,1665,758,1216,995,1200,2031,2758,2225,1204,1488,2277,1855,1863,2909,3596,4395,5378,3341,3045,2985,2931,1488,2964,124003
Indonesia,196,58,14,6,16,25,42,30,624,679,441,895,1068,180,518,338,16,1,1,9,28,92,5,73,73,4,156,60,126,377,910,797,360,228,100,289,432,264,294,248,202,11,52,215,473,286,380,106,90,165,151,27,68,356,79,36,65,587,244,441,225,250,214,800,1188,438,381,1178,338,219,19333
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Iran,4,6,0,1,75,111,121,53,129,107,11,107,110,137,141,182,442,381,894,1236,1192,1731,1413,2053,2845,5171,4466,5560,3743,535,278,487,541,509,469,548,803,833,478,192,454,1022,432,987,450,294,615,178,381,323,418,524,435,282,121,57,423,331,62,97,99,100,46,13,13,13,413,4,4,3,46687
Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1861,1440,1103,1136,1085,1817,1359,2240,2587,3285,3360,4546,3982,3373,3454,1891,1494,779,,,,,,,,,,,,,,71,186,312,275,378,398,434,574,476,353,665,1464,1789,989,543,175,54323
Ireland,2,,,4,,,8,,,1,1,,,2,1,,,,,,7,9,22,3,1,4,3,5,28,31,48,15,,,11,,38,,24,,,11,,,43,,,,3,35,0,45,22,,19,5,13,19,22,0,5,2,2,,40,43,43,2,7,36,683
Israel,53,92,74,112,49,117,641,133,143,223,163,84,261,396,417,437,319,282,961,1382,1131,1350,898,1979,1180,1643,1942,1263,1336,710,1273,1658,869,491,288,310,1185,1080,582,24,81,1209,1303,716,757,364,117,67,1291,1191,353,116,349,189,845,1133,1122,832,676,153,67,85,120,209,541,681,605,536,543,507,44290
Italy,158,233,463,784,308,587,1151,941,417,421,390,426,666,997,1115,722,395,106,192,481,555,1090,1748,1001,1111,1016,711,518,692,605,479,133,251,307,273,206,199,183,179,196,158,206,188,208,201,334,286,519,56,25,241,221,239,564,451,162,423,515,214,101,103,286,207,81,139,251,759,734,317,186,30782
Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,13,3,145
Japan,,,8,223,316,411,758,1059,1239,668,859,338,223,204,1809,1209,324,619,559,531,658,781,677,640,1007,1685,1674,975,1094,997,1067,1347,1462,1707,2063,1982,1904,1949,2007,2297,2703,2953,2520,2138,1025,1241,857,824,1474,1267,494,442,446,483,403,398,480,517,692,621,403,304,223,277,293,329,330,453,572,891,65383
Jordan,0,,0,0,27,34,62,,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,369,334,461,590,276,383,404,1064,789,480,293,250,143,247,59,16,24,,1,5,19,75,77,248,64,133,160,132,281,168,49,53,181,161,234,89,215,176,75,196,233,233,390,215,85,11566
Katanga,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,20,,47,42,44,82,25,39,58,62,94,141,95,444,248,214,304,312,2770
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,20,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,178,,23,42,14,,,30,,,58,,,12,,,,,,,10,,34,116,14,62,1,17,30,29,16,5,32,1612
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,77,230,490,487,198,35,13,175,291,494,621,170,50,6,132,325,516,896,694,35,632,1189,482,46,212,245,67,23,45,2,12,5,288,5,9,85,113,31,73,692,339,162,111,95,70,11543
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,4,9,13,1,15,61
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,37,21,134,26,,35,54,2,94,26,62,,29,18,,8,,,,,,,44,21,30,7,,,0,,4,,,7,26,,14,19,19,,7,,3,109,18,1087
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,24,29,19,25,373
Lebanon,5,,2,5,6,8,,39,65,11,,3,13,18,,34,67,75,1,,,7,49,41,28,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,7,4,4,,,,,1,,5,1,52,64,1,31,24,6,48,28,50,52,67,1580
Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,1,1,48
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,4,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,61
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,371,555,555,750,1763,1666,1851,3062,4224,3315,2969,3157,2751,1405,746,753,409,184,9,218,10,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,109,,,,,,,31337
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,20
Libya HoR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,38,13,6,11,4,88
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,4,15,,15,5,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,13,28,45,6,39,537
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,,,,,,3
Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,7,7,,1,,,,0,0,,,22
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,,12,81,14,112,,,,,0,,,,,,,1,,,0,,,,248
Madagascar,,,,,,,,,,,,3,,2,0,7,,12,1,1,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,22,,,,,,,,,,,,,0,,,,0,,,,,1,4,198
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,2,,,,,,,,,,,,,,3,,,,1,2,2,2,1,,,,102
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,127,90,78,25,195,113,206,50,85,394,146,72,314,127,56,25,268,545,404,128,17,14,38,,34,13,13,308,848,33,555,39,720,26,26,153,147,65,59,408,526,508,1512,423,5,47,71,71,104,266,191,98,70,11163
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,8,,,,,,,,15,,,,5,,,5,,,,,,,34
Mali,,,,,,,,,,,,3,10,4,,,1,10,,2,,15,,,,9,89,,,,,91,4,15,13,0,,,1,,1,,,,0,,,9,4,,7,,1,4,,13,,8,3,10,,0,9,6,1,,21,31,25,3,424
Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,,,,18,,,,,,8,8,,12,,6,8,,,88
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,11,13,,1,5,5,10,24,17,24,,19,16,,0,3,,,,8,16,18,,,16,2,2,8,4,,31,,27,7,,,,,,,9,5,11,,7,1,35,,1,34,400
Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,,,,,1,,,,,6,,,8,,,29,1,,,,,,,6,,,,,,,,,,28,,26,19,,,128
Mexico,,7,,6,,,,,16,2,6,44,107,60,38,11,21,14,0,,82,48,15,158,61,104,69,39,68,61,75,115,342,116,,8,143,154,97,63,34,39,19,160,128,50,87,485,23,141,227,152,97,31,320,33,75,,22,59,112,229,260,52,87,320,314,210,16,3,5933
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,23
MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,19
Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,14,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,14,,27,3,79,,,74,,,,17,2188
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,15,,16
Morocco,,,,,,,28,12,10,13,22,37,93,14,16,81,151,138,79,38,77,1,,21,198,206,216,408,419,723,453,777,513,382,59,38,31,32,111,126,137,62,17,98,117,28,89,220,,60,125,11,156,12,14,101,47,27,46,39,306,1403,896,76,560,47,287,485,387,26,11399
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,29,33,148,492,111,54,60,64,59,94,73,6,,,,,,,,,,,,,2,0,,,1,,,,,,,,0,0,9,15,0,2,,,22,1275
MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
Myanmar,4,0,0,16,39,47,30,53,61,21,6,17,14,27,18,19,3,13,6,22,4,23,4,,,53,10,9,25,19,40,,38,,,,8,,,34,266,232,64,323,97,223,118,231,156,141,16,149,157,95,194,160,175,151,77,59,56,667,398,251,100,248,237,101,168,252,6246
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,4,5,,,21,11,,16,,72,6,66,15,3,1,57,9,2,,3,35,,,333
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,5505
Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,1,2,15,6,,,,,1,,,3,3,,,,1,,,1,,,1,,,,,,11,9,9,34,6,,,1,,,3,,,5,14,8,1,7,17,177
Netherlands,154,454,423,975,784,736,1171,695,467,146,294,309,370,711,910,745,189,731,266,549,690,689,656,21,40,96,266,579,704,780,626,762,1248,1361,1203,901,815,632,383,709,276,324,241,144,211,84,205,126,271,278,123,164,244,125,127,98,317,237,154,293,190,134,363,331,11,64,79,35,142,490,30117
New Zealand,41,63,151,20,,38,148,90,58,,119,111,8,5,,10,407,4,56,,168,133,20,19,7,48,7,34,,,,31,62,100,41,9,29,5,59,26,23,42,55,36,16,7,7,309,15,304,,45,17,108,49,10,5,81,2,56,58,28,30,26,84,90,,,6,13,3645
Nicaragua,,,,3,13,27,1,4,6,,2,8,6,8,0,0,2,,,,,5,5,10,,,8,19,13,,,41,67,47,165,87,88,151,63,14,102,1,,,,,,,,,,,,,,,,14,,14,,,,,13,15,86,7,,13,1127
Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,7,,6,13,3,,3,,,,,7,,,,,,3,,,,,,5,,,,,8,1,0,0,,13,4,9,,3,,3,168
Nigeria,,,,,,,,,,5,,1,8,9,2,116,99,45,46,39,14,12,113,7,24,439,104,68,136,87,503,330,620,42,359,576,216,115,62,15,18,3,59,41,95,2,15,1,,,36,9,6,62,11,,15,60,33,65,188,62,30,30,218,186,50,41,49,30,5625
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,,,,228
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
North Korea,862,372,211,674,263,404,479,428,827,579,405,69,181,197,168,117,855,854,1299,605,629,1572,568,640,933,636,502,312,369,238,416,263,549,511,283,1040,1097,849,854,595,295,198,137,93,35,143,78,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,,,,,,,23986
North Yemen,0,,4,,,1,,60,25,8,,23,,,,,0,,27,11,,,,,9,9,0,13,14,743,706,149,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137
Norway,113,127,426,421,19,168,282,142,144,110,145,93,60,227,260,371,766,686,280,518,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,9,6,14,555,593,615,583,159,606,143,51,16,143,140,352,549,443,16618
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,82,43,12,72,182,356,120,86,49,40,19,119,59,,,55,145,278,291,163,22,,118,33,40,36,41,170,298,12,72,93,30,21,120,490,715,127,423,777,277,105,7060
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1
PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,198,85,214,594,153,418,540,447,565,675,162,230,241,279,256,649,710,854,485,537,777,856,738,280,617,412,962,635,495,379,1000,886,366,503,692,704,878,186,423,563,650,477,443,360,692,1071,1186,2199,1133,1018,1100,834,786,840,851,792,561,38140
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,8
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,6,,,,,,,,,2,37
Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,15,30,,,3,15,11,,249
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,5,,3,,8,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,3,,,4,7,,124
Paraguay,5,,1,1,,0,,,,,10,,11,0,8,1,1,5,9,,0,1,12,0,,20,3,,10,1,18,5,3,1,3,34,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,225
Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
Peru,2,24,76,,111,35,175,117,30,175,191,96,14,24,18,53,65,28,197,89,35,157,160,449,572,550,378,939,776,642,710,870,278,324,362,257,248,613,241,16,97,107,124,42,175,46,124,312,52,97,24,4,16,22,47,368,193,172,,43,46,63,10,22,152,212,222,64,92,,13040
Philippines,,2,1,32,2,36,42,45,29,64,51,45,11,4,2,97,87,41,17,26,9,90,52,117,53,146,262,187,162,92,75,44,17,117,39,23,,26,12,19,33,34,43,61,71,27,40,70,64,,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,278,18,187,3776
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,1
PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Poland,190,575,794,1021,1999,1098,687,1080,1048,994,853,849,688,1001,1565,1155,981,746,866,948,948,940,866,1062,1079,971,790,930,1116,1131,1093,811,724,528,462,918,1380,1020,896,498,227,76,95,8,72,248,105,1,3,25,148,33,256,350,226,115,465,992,597,171,159,88,232,154,254,133,45,153,122,308,43162
Portugal,18,18,116,284,286,162,91,157,99,48,31,151,29,41,45,63,236,298,388,359,371,177,17,17,117,326,64,94,128,5,36,50,190,4,109,155,5,9,90,136,73,1018,19,361,453,20,7,0,16,3,2,19,,29,70,158,220,60,144,370,894,170,40,13,3,1,21,12,26,44,9284
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,55,46,128,470,328,2,2,57,91,10,5,17,64,11,10,11,201,242,300,72,14,11,11,11,,,,27,,286,30,198,319,73,55,520,903,667,596,2258,8274
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,14
Romania,4,76,455,904,629,359,448,186,106,97,113,27,181,227,418,518,401,442,603,411,573,487,513,551,695,658,295,349,298,645,528,478,448,285,241,332,450,215,193,276,606,63,184,14,29,2,39,61,170,142,21,24,21,17,285,437,61,98,76,56,107,80,21,20,0,22,177,83,36,61,18121
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,4,100,,8,25,10,121,183,218,85,145,93,26,,1057
Rwanda,,,,,,,,,,,,,5,,0,0,,,,,,0,0,2,1,3,,1,,,,,,4,6,3,2,,2,,1,2,5,,,,1,2,9,20,14,,,,,,3,20,8,11,,,5,15,14,27,,8,3,,193
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13
Saudi Arabia,0,,7,1,2,16,10,56,37,8,17,12,22,,5,48,229,210,456,383,54,10,101,182,375,474,607,946,1014,762,1094,1814,2219,1823,835,1330,2850,2009,783,1382,2073,1041,1125,2377,981,983,1731,2787,2895,1580,85,61,567,167,1170,167,206,230,391,824,1083,1222,1033,1614,2741,3380,2947,3934,3760,3673,69006
Senegal,,,,,,,,,,,0,8,,0,4,0,1,,1,19,,12,,1,17,,14,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,15,9,18,6,4,4,20,,5,7,16,40,47,12,31,487
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,,14,65,3,171,332
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,1,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,7,,7,16,,8,,7,,113
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,6,14,,16,,12,,,,,,,9,,,,,2,0,1,,0,1,,,,158
Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,546,238,527,375,112,170,183,306,171,624,816,313,798,255,236,86,379,541,72,358,1116,1429,958,900,748,748,65,147,631,429,592,614,19090
SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,44
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,,4,,0,0,9,9,,2,5,,,,47,34,36,584
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,20,8,4,18,2,41,2,17,17,3,3,2,,7,40,28,,,1,,,,,,280
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19
Somalia,,,,,,,,,,,10,2,0,11,,30,52,72,4,1,,0,21,165,290,128,180,44,57,48,120,97,61,23,12,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,1519
